,,price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
145,144,51000,4500,2,1,1,no,no,no,no,no,0,no
146,145,57250,4500,3,1,2,no,no,yes,no,yes,0,no
147,146,44000,4500,2,1,2,yes,no,no,yes,no,1,no
148,147,61000,2175,3,1,2,no,yes,yes,no,yes,0,no
149,148,62000,4500,3,2,3,yes,no,no,yes,no,1,no
150,149,80000,4800,5,2,3,no,no,yes,yes,no,0,no
151,150,50000,4600,4,1,2,yes,no,no,no,no,0,no
152,151,59900,3450,3,1,2,yes,no,no,no,no,1,no
153,152,35500,3000,3,1,2,no,no,no,no,no,0,no
154,153,37000,3600,2,2,2,yes,no,yes,no,no,1,no
155,154,42000,3600,3,1,2,no,no,no,no,no,1,no
156,155,48000,3750,3,1,1,yes,no,no,no,no,0,no
157,156,60000,2610,4,3,2,no,no,no,no,no,0,no
158,157,60000,2953,3,1,2,yes,no,yes,no,yes,0,no
159,158,60000,2747,4,2,2,no,no,no,no,no,0,no
160,159,62000,1905,5,1,2,no,no,yes,no,no,0,no
161,160,63000,3968,3,1,2,no,no,no,no,no,0,no
162,161,63900,3162,3,1,2,yes,no,no,no,yes,1,no
163,162,130000,6000,4,1,2,yes,no,yes,no,no,2,no
164,163,25000,2910,3,1,1,no,no,no,no,no,0,no
165,164,50000,2135,3,2,2,no,no,no,no,no,0,no
166,165,52900,3120,3,1,2,no,no,yes,yes,no,0,no
167,166,62000,4075,3,1,1,yes,yes,yes,no,no,2,no
168,167,73500,3410,3,1,2,no,no,no,no,yes,0,no
169,168,38000,2800,3,1,1,yes,no,no,no,no,0,no
170,169,46000,2684,2,1,1,yes,no,no,no,yes,1,no
171,170,48000,3100,3,1,2,no,no,yes,no,no,0,no
172,171,52500,3630,2,1,1,yes,no,yes,no,no,0,no
173,172,32000,1950,3,1,1,no,no,no,yes,no,0,no
174,173,38000,2430,3,1,1,no,no,no,no,no,0,no
175,174,46000,4320,3,1,1,no,no,no,no,no,1,no
176,175,50000,3036,3,1,2,yes,no,yes,no,no,0,no
177,176,57500,3630,3,2,2,yes,no,no,yes,no,2,no
178,177,70000,5400,4,1,2,yes,no,no,no,no,0,no
179,178,69900,3420,4,2,2,yes,no,yes,no,yes,2,no
180,179,74500,3180,3,2,2,yes,no,no,no,no,2,no
181,180,42000,3660,4,1,2,no,no,no,no,no,0,no
182,181,60000,4410,2,1,1,no,no,no,no,no,1,no
183,182,50000,3990,3,1,2,yes,no,no,no,no,0,no
184,183,58000,4340,3,1,1,yes,no,no,no,no,0,no
185,184,63900,3510,3,1,2,yes,no,no,no,no,0,no
186,185,28000,3420,5,1,2,no,no,no,no,no,0,no
187,186,54000,3420,2,1,2,yes,no,no,yes,no,1,no
188,187,44700,5495,3,1,1,yes,no,yes,no,no,0,no
189,188,47000,3480,4,1,2,no,no,no,no,no,1,no
190,189,50000,7424,3,1,1,no,no,no,no,no,0,no
191,190,57250,3460,4,1,2,yes,no,no,no,yes,0,no
192,191,67000,3630,3,1,2,yes,no,no,no,no,2,no
193,192,52500,3630,2,1,1,yes,no,no,no,yes,0,no
194,193,42000,3480,3,1,2,no,no,no,no,no,1,no
195,194,57500,3460,3,2,1,yes,no,yes,no,yes,1,no
196,195,33000,3180,2,1,1,yes,no,no,no,no,0,no
197,196,34400,3635,2,1,1,no,no,no,no,no,0,no
198,197,40000,3960,3,1,1,yes,no,no,no,no,0,no
199,198,40500,4350,3,1,2,no,no,no,yes,no,1,no
200,199,46500,3930,2,1,1,no,no,no,no,no,0,no
201,200,52000,3570,3,1,2,yes,no,yes,no,no,0,no
202,201,53000,3600,3,1,1,yes,no,no,no,no,1,no
203,202,53900,2520,5,2,1,no,no,yes,no,yes,1,no
204,203,50000,3480,3,1,1,no,no,no,no,yes,0,no
205,204,55500,3180,4,2,2,yes,no,no,no,no,0,no
206,205,56000,3290,2,1,1,yes,no,no,yes,no,1,no
207,206,60000,4000,4,2,2,no,no,no,no,no,0,no
208,207,60000,2325,3,1,2,no,no,no,no,no,0,no
209,208,69500,4350,2,1,1,yes,no,yes,no,no,0,no
210,209,72000,3540,2,1,1,no,yes,yes,no,no,0,no
211,210,92500,3960,3,1,1,yes,no,yes,no,no,2,no
212,211,40500,2640,2,1,1,no,no,no,no,no,1,no
